epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2900.93,1.35856,0.98338,1.00665,0.89914,0.77083,0.7945,0.32043,1.96452,1.20572,1.3298,0.0011882,0.0011882,0.0011882
43,2967.73,1.31411,0.92005,0.99566,0.90549,0.79855,0.83881,0.35077,1.93791,1.27776,1.29582,0.0011684,0.0011684,0.0011684
44,3045.75,1.15359,0.87012,0.95825,0.9018,0.79167,0.83389,0.37237,1.96401,1.20909,1.32295,0.0011486,0.0011486,0.0011486
45,3125.71,1.26894,1.01836,0.99358,0.89941,0.79167,0.82085,0.3613,1.93099,1.15378,1.32918,0.0011288,0.0011288,0.0011288
46,3202.85,1.3104,0.92733,1.02506,0.89816,0.79167,0.83611,0.35926,1.96045,1.18467,1.35759,0.001109,0.001109,0.001109
47,3273.94,1.20544,0.86153,1.0067,0.92672,0.79044,0.83338,0.37628,1.97752,1.22919,1.31358,0.0010892,0.0010892,0.0010892
48,3345.42,1.27458,0.90422,1.00533,0.90681,0.81091,0.81511,0.38104,1.92265,1.19003,1.30873,0.0010694,0.0010694,0.0010694
49,3415.93,1.22493,0.86782,0.98016,0.96942,0.85417,0.86729,0.38406,1.9453,1.12073,1.37235,0.0010496,0.0010496,0.0010496
50,3487.81,1.23935,0.82373,0.96897,0.96239,0.8125,0.84503,0.37589,1.95482,1.07925,1.37601,0.0010298,0.0010298,0.0010298
51,3558.1,1.211,0.80637,1.02869,0.97477,0.80486,0.85099,0.37789,1.95088,1.0775,1.35234,0.00101,0.00101,0.00101
52,3628.41,1.23512,0.79431,1.01227,0.86361,0.79167,0.7954,0.35738,2.00777,1.11352,1.35804,0.0009902,0.0009902,0.0009902
53,3699.43,1.25674,0.81362,1.0006,0.9027,0.77083,0.82991,0.3937,1.93347,1.13686,1.35954,0.0009704,0.0009704,0.0009704
54,3769.83,1.27445,0.84041,0.95386,0.90813,0.82384,0.86045,0.39122,1.96605,1.11636,1.41972,0.0009506,0.0009506,0.0009506
55,3840.91,1.2441,1.01123,0.97043,0.94914,0.77766,0.8367,0.38874,1.97709,1.07972,1.38545,0.0009308,0.0009308,0.0009308
56,3911.2,1.15011,0.74615,0.97054,0.88116,0.8125,0.85066,0.37545,2.00451,1.07938,1.40323,0.000911,0.000911,0.000911
57,3982.06,1.07587,0.73399,0.92897,0.8717,0.84937,0.87766,0.3961,1.95745,1.05599,1.37163,0.0008912,0.0008912,0.0008912
58,4052.13,1.14528,0.76291,0.98933,0.8686,0.82641,0.84094,0.40097,1.96459,1.03485,1.32544,0.0008714,0.0008714,0.0008714
59,4122.69,1.14329,0.73362,0.93373,0.9086,0.875,0.89076,0.40893,1.92061,0.95843,1.30655,0.0008516,0.0008516,0.0008516
60,4194.02,1.05754,0.70435,0.9106,0.94203,0.85417,0.87365,0.39942,1.94924,0.96099,1.34632,0.0008318,0.0008318,0.0008318
61,4264.37,1.15955,0.72742,0.94547,0.94836,0.83333,0.88013,0.39766,1.92578,0.97186,1.36289,0.000812,0.000812,0.000812
62,4335.46,1.0939,0.71317,0.92482,0.93328,0.87422,0.90256,0.41181,1.90171,0.95739,1.35496,0.0007922,0.0007922,0.0007922
63,4407.67,1.09053,0.72873,0.93624,0.86237,0.83333,0.84268,0.37711,1.90592,0.95731,1.33158,0.0007724,0.0007724,0.0007724
64,4481.99,0.99749,0.64768,0.89294,0.86332,0.78959,0.82889,0.36061,1.94986,1.01269,1.36384,0.0007526,0.0007526,0.0007526
65,4562.4,1.01632,0.65246,0.91525,0.86101,0.79167,0.83724,0.38002,1.90637,0.98008,1.36129,0.0007328,0.0007328,0.0007328
66,4637.24,0.99984,0.67566,0.91723,0.86866,0.82684,0.84862,0.38112,1.95162,1.00596,1.35828,0.000713,0.000713,0.000713
67,4718.61,0.99398,0.65536,0.89725,0.90275,0.8125,0.87285,0.37235,1.99293,1.01125,1.35389,0.0006932,0.0006932,0.0006932
68,4804.5,0.93804,0.62008,0.89526,0.90519,0.83333,0.86297,0.39344,1.94764,0.98149,1.33537,0.0006734,0.0006734,0.0006734
69,4877.08,0.96515,0.65243,0.90832,0.92709,0.83333,0.86106,0.39428,1.91724,0.94323,1.34112,0.0006536,0.0006536,0.0006536
70,4952.66,1.04217,0.65972,0.95505,0.92231,0.83333,0.86319,0.40004,1.92977,0.95027,1.30033,0.0006338,0.0006338,0.0006338
71,5021.85,1.04741,0.68276,0.91711,0.94956,0.85417,0.88814,0.40807,1.94453,0.95852,1.28941,0.000614,0.000614,0.000614
