epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.0869,2.21615,6.43523,1.29664,0.00182,0.6,0.00932,0.0031,2.29754,5.40008,1.09377,0.00016,0.00016,0.00016
2,121.34,2.09456,4.52097,1.07228,0.00172,0.56667,0.00367,0.00141,1.70831,4.95189,1.00908,0.000333268,0.000333268,0.000333268
3,179.589,1.96268,3.47716,1.14583,0.00152,0.5,0.00281,0.00118,1.75131,4.76841,1.04196,0.000499408,0.000499408,0.000499408
4,251.254,1.93209,3.0887,1.18148,0.00121,0.4,0.0015,0.00054,1.82168,4.64447,1.10846,0.00065842,0.00065842,0.00065842
5,312.104,2.08478,2.9094,1.22179,0.00071,0.23333,0.01801,0.01414,1.99777,4.80329,1.15852,0.000810304,0.000810304,0.000810304
6,363.437,1.94781,2.9061,1.19844,0.00061,0.2,0.00042,0.00014,1.87914,4.71855,1.12844,0.00095506,0.00095506,0.00095506
7,421.773,1.89172,2.7348,1.21243,0.00101,0.33333,0.001,0.00044,1.9179,4.51105,1.1333,0.00109269,0.00109269,0.00109269
8,477.289,2.04404,2.6368,1.20064,0.00192,0.63333,0.35372,0.16831,1.45098,3.65997,1.03114,0.00122319,0.00122319,0.00122319
9,526.652,1.90875,2.46637,1.25843,0.00202,0.66667,0.30839,0.17976,1.66344,3.90524,1.11611,0.00134656,0.00134656,0.00134656
10,578.629,1.87472,2.66173,1.14631,0.88601,0.25977,0.44844,0.19972,1.43051,3.03654,1.07198,0.0014628,0.0014628,0.0014628
11,630.723,1.76744,2.51631,1.16541,0.99879,0.4,0.52262,0.28016,1.80407,2.76242,1.11228,0.00157192,0.00157192,0.00157192
12,682.371,1.78033,2.18958,1.13357,0.77281,0.53333,0.60425,0.28609,1.95887,2.27217,1.21513,0.0015644,0.0015644,0.0015644
13,734.944,1.79478,2.04422,1.13335,0.7956,0.53333,0.6389,0.29835,1.64287,1.98058,1.12251,0.0015248,0.0015248,0.0015248
14,791.973,1.79517,2.05961,1.06844,0.78892,0.53333,0.59246,0.20865,2.26331,2.46631,1.35211,0.0014852,0.0014852,0.0014852
15,846.214,1.78896,1.98422,1.1459,0.72441,0.52599,0.58659,0.24848,1.98579,2.129,1.26614,0.0014456,0.0014456,0.0014456
16,897.159,1.62584,1.74294,1.11811,0.94183,0.54001,0.65766,0.24534,1.81139,1.59015,1.17905,0.001406,0.001406,0.001406
17,949.841,1.73068,1.80694,1.11987,0.80918,0.56667,0.65945,0.30668,2.22529,1.74781,1.24668,0.0013664,0.0013664,0.0013664
18,1001.23,1.81785,1.87584,1.13494,0.97109,0.53333,0.68859,0.35506,2.22396,1.7698,1.22467,0.0013268,0.0013268,0.0013268
19,1050.94,1.82306,1.85204,1.08107,0.74932,0.69755,0.68406,0.31635,1.815,1.63758,1.12331,0.0012872,0.0012872,0.0012872
