epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2065.44,1.22242,0.97639,0.91438,1,0.7579,0.85652,0.36025,2.0236,1.46368,1.23302,0.000488,0.000488,0.000488
44,2112.56,1.13363,0.92066,0.92752,0.95389,0.76629,0.8677,0.35995,2.00584,1.42429,1.24341,0.000452,0.000452,0.000452
45,2166.84,1.17918,0.91235,0.91199,0.95271,0.77778,0.8556,0.35822,2.0234,1.44533,1.23999,0.000416,0.000416,0.000416
46,2226.92,1.22585,1.25867,0.93143,0.97277,0.75926,0.85726,0.36789,2.04066,1.50988,1.25409,0.00038,0.00038,0.00038
47,2282.42,1.10889,1.09918,0.93091,0.93384,0.75926,0.81565,0.34855,2.06278,1.54657,1.24959,0.000344,0.000344,0.000344
48,2340.66,1.15872,1.16228,0.92743,0.87373,0.76893,0.8027,0.34785,2.07545,1.52923,1.25925,0.000308,0.000308,0.000308
49,2392.66,1.0903,1.08919,0.89791,0.87324,0.76551,0.80799,0.35843,2.05242,1.51132,1.25948,0.000272,0.000272,0.000272
50,2438.27,1.07619,1.0297,0.91372,0.86894,0.7963,0.84179,0.3668,1.9699,1.40853,1.23738,0.000236,0.000236,0.000236
51,2485.17,1.12224,1.03408,0.92129,0.93364,0.78165,0.84307,0.37177,1.94939,1.34299,1.22617,0.0002,0.0002,0.0002
52,2537.07,1.09541,1.01211,0.9127,0.95254,0.7963,0.85212,0.3671,1.96912,1.32673,1.23038,0.000164,0.000164,0.000164
53,2587.94,1.04927,0.98808,0.9109,0.94921,0.7963,0.85126,0.36177,1.98213,1.33753,1.23145,0.000128,0.000128,0.000128
54,2633.35,1.03426,0.95939,0.90489,0.97726,0.79568,0.85228,0.35257,2.00162,1.36051,1.23068,9.2e-05,9.2e-05,9.2e-05
55,2678.16,1.08088,0.9845,0.90889,0.97671,0.77669,0.84315,0.35085,2.01135,1.37464,1.22771,5.6e-05,5.6e-05,5.6e-05
